Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,YdsW,TOW,YdsL,TOL,Combined_Pts
1,Sun,1967-09-03,,Denver Broncos,,Boston Patriots,boxscore,209.0,1.0,302.0,7.0,26-21
2,Sat,1967-09-09,,Kansas City Chiefs,@,Houston Oilers,boxscore,312.0,1.0,336.0,2.0,25-20
2,Sat,1967-09-09,,San Diego Chargers,,Boston Patriots,boxscore,330.0,2.0,322.0,4.0,28-14
2,Sun,1967-09-10,,Buffalo Bills,,New York Jets,boxscore,248.0,2.0,287.0,0.0,20-17
2,Sun,1967-09-10,,Oakland Raiders,,Denver Broncos,boxscore,388.0,1.0,-5.0,2.0,51-0
3,Sun,1967-09-17,,Houston Oilers,@,Buffalo Bills,boxscore,139.0,2.0,193.0,4.0,20-3
3,Sun,1967-09-17,,Oakland Raiders,,Boston Patriots,boxscore,367.0,1.0,256.0,5.0,35-7
3,Sun,1967-09-17,,Miami Dolphins,,Denver Broncos,boxscore,435.0,3.0,126.0,2.0,35-21
4,Sun,1967-09-24,,Kansas City Chiefs,@,Miami Dolphins,boxscore,349.0,1.0,124.0,5.0,24-0
4,Sun,1967-09-24,,San Diego Chargers,,Houston Oilers,boxscore,325.0,1.0,166.0,2.0,13-3
4,Sun,1967-09-24,,Boston Patriots,@,Buffalo Bills,boxscore,265.0,0.0,241.0,6.0,23-0
4,Sun,1967-09-24,,New York Jets,@,Denver Broncos,boxscore,478.0,2.0,359.0,2.0,38-24
5,Sun,1967-10-01,,Oakland Raiders,,Kansas City Chiefs,boxscore,306.0,2.0,243.0,3.0,23-21
5,Sun,1967-10-01,,New York Jets,,Miami Dolphins,boxscore,484.0,1.0,208.0,3.0,29-7
5,Sun,1967-10-01,,San Diego Chargers,@,Buffalo Bills,boxscore,484.0,0.0,247.0,3.0,37-17
5,Sun,1967-10-01,,Houston Oilers,,Denver Broncos,boxscore,242.0,2.0,238.0,3.0,10-6
6,Sat,1967-10-07,,New York Jets,,Oakland Raiders,boxscore,297.0,3.0,210.0,4.0,27-14
6,Sun,1967-10-08,,Kansas City Chiefs,,Miami Dolphins,boxscore,335.0,0.0,206.0,6.0,41-0
6,Sun,1967-10-08,,San Diego Chargers,,Boston Patriots,boxscore,285.0,1.0,387.0,1.0,31-31
6,Sun,1967-10-08,,Buffalo Bills,@,Denver Broncos,boxscore,297.0,4.0,190.0,1.0,17-16
7,Sun,1967-10-15,,Houston Oilers,@,New York Jets,boxscore,131.0,3.0,367.0,6.0,28-28
7,Sun,1967-10-15,,San Diego Chargers,,Kansas City Chiefs,boxscore,452.0,2.0,445.0,4.0,45-31
7,Sun,1967-10-15,,Boston Patriots,,Miami Dolphins,boxscore,450.0,4.0,223.0,6.0,41-10
7,Sun,1967-10-15,,Oakland Raiders,@,Buffalo Bills,boxscore,223.0,5.0,158.0,2.0,24-20
8,Sun,1967-10-22,,New York Jets,@,Miami Dolphins,boxscore,335.0,0.0,246.0,2.0,33-14
8,Sun,1967-10-22,,Houston Oilers,@,Kansas City Chiefs,boxscore,127.0,1.0,323.0,3.0,24-19
8,Sun,1967-10-22,,Oakland Raiders,@,Boston Patriots,boxscore,395.0,3.0,83.0,4.0,48-14
8,Sun,1967-10-22,,San Diego Chargers,@,Denver Broncos,boxscore,490.0,2.0,255.0,1.0,38-21
9,Sun,1967-10-29,,Houston Oilers,,Buffalo Bills,boxscore,181.0,3.0,215.0,4.0,10-3
9,Sun,1967-10-29,,Oakland Raiders,,San Diego Chargers,boxscore,437.0,2.0,341.0,5.0,51-10
9,Sun,1967-10-29,,Kansas City Chiefs,,Denver Broncos,boxscore,444.0,1.0,268.0,6.0,52-9
9,Sun,1967-10-29,,New York Jets,,Boston Patriots,boxscore,409.0,3.0,170.0,2.0,30-23
10,Sun,1967-11-05,,Buffalo Bills,,Miami Dolphins,boxscore,310.0,3.0,127.0,2.0,35-13
10,Sun,1967-11-05,,Kansas City Chiefs,,New York Jets,boxscore,392.0,1.0,340.0,4.0,42-18
10,Sun,1967-11-05,,Oakland Raiders,@,Denver Broncos,boxscore,327.0,2.0,119.0,1.0,21-17
10,Sun,1967-11-05,,Boston Patriots,,Houston Oilers,boxscore,345.0,1.0,200.0,1.0,18-7
11,Sun,1967-11-12,,San Diego Chargers,,Miami Dolphins,boxscore,332.0,4.0,243.0,1.0,24-0
11,Sun,1967-11-12,,New York Jets,,Buffalo Bills,boxscore,360.0,3.0,257.0,2.0,20-10
11,Sun,1967-11-12,,Kansas City Chiefs,@,Boston Patriots,boxscore,297.0,3.0,318.0,5.0,33-10
11,Sun,1967-11-12,,Houston Oilers,@,Denver Broncos,boxscore,386.0,3.0,222.0,1.0,20-18
12,Sun,1967-11-19,,Oakland Raiders,,Miami Dolphins,boxscore,396.0,2.0,280.0,4.0,31-17
12,Sun,1967-11-19,,San Diego Chargers,@,Kansas City Chiefs,boxscore,327.0,3.0,297.0,0.0,17-16
12,Sun,1967-11-19,,Denver Broncos,@,Buffalo Bills,boxscore,194.0,3.0,367.0,3.0,21-20
12,Sun,1967-11-19,,New York Jets,@,Boston Patriots,boxscore,390.0,3.0,276.0,3.0,29-24
13,Thu,1967-11-23,,Oakland Raiders,@,Kansas City Chiefs,boxscore,459.0,2.0,192.0,4.0,44-22
13,Thu,1967-11-23,,San Diego Chargers,,Denver Broncos,boxscore,300.0,2.0,358.0,3.0,24-20
13,Sun,1967-11-26,,Miami Dolphins,,Buffalo Bills,boxscore,318.0,3.0,351.0,4.0,17-14
13,Sun,1967-11-26,,Houston Oilers,,Boston Patriots,boxscore,250.0,2.0,233.0,5.0,27-6
14,Sun,1967-12-03,,Oakland Raiders,@,San Diego Chargers,boxscore,460.0,0.0,418.0,3.0,41-21
14,Sun,1967-12-03,,Houston Oilers,,Miami Dolphins,boxscore,454.0,3.0,216.0,1.0,17-14
14,Sun,1967-12-03,,Kansas City Chiefs,,Buffalo Bills,boxscore,257.0,1.0,242.0,4.0,23-13
14,Sun,1967-12-03,,Denver Broncos,@,New York Jets,boxscore,142.0,0.0,345.0,6.0,33-24
15,Sat,1967-12-09,,Buffalo Bills,@,Boston Patriots,boxscore,252.0,2.0,150.0,7.0,44-16
15,Sun,1967-12-10,,Oakland Raiders,@,Houston Oilers,boxscore,421.0,2.0,238.0,2.0,19-7
15,Sun,1967-12-10,,Miami Dolphins,,San Diego Chargers,boxscore,325.0,1.0,269.0,6.0,41-24
15,Sun,1967-12-10,,Kansas City Chiefs,@,New York Jets,boxscore,204.0,2.0,167.0,3.0,21-7
16,Sat,1967-12-16,,Houston Oilers,,San Diego Chargers,boxscore,334.0,1.0,296.0,0.0,24-17
16,Sun,1967-12-17,,Miami Dolphins,,Boston Patriots,boxscore,359.0,0.0,470.0,6.0,41-32
16,Sun,1967-12-17,,Oakland Raiders,,New York Jets,boxscore,455.0,4.0,464.0,3.0,38-29
16,Sun,1967-12-17,,Kansas City Chiefs,@,Denver Broncos,boxscore,400.0,3.0,272.0,4.0,38-24
17,Sat,1967-12-23,,Houston Oilers,@,Miami Dolphins,boxscore,319.0,0.0,349.0,7.0,41-10
17,Sun,1967-12-24,,New York Jets,@,San Diego Chargers,boxscore,429.0,0.0,476.0,3.0,42-31
17,Sun,1967-12-24,,Oakland Raiders,,Buffalo Bills,boxscore,272.0,6.0,210.0,4.0,28-21
,,Playoffs,,,,,,,,,,0-0
Champ,Sun,1967-12-31,,Oakland Raiders,,Houston Oilers,boxscore,364.0,0.0,146.0,3.0,40-7
SuperBowl,Sun,1968-01-14,,Green Bay Packers,N,Oakland Raiders,boxscore,322.0,0.0,293.0,3.0,33-14
