Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,YdsW,TOW,YdsL,TOL,Combined_Pts
1,Fri,1968-09-06,,San Diego Chargers,,Cincinnati Bengals,boxscore,554.0,2.0,226.0,2.0,29-13
1,Sun,1968-09-08,,Boston Patriots,@,Buffalo Bills,boxscore,195.0,3.0,191.0,4.0,16-7
1,Mon,1968-09-09,,Kansas City Chiefs,@,Houston Oilers,boxscore,265.0,0.0,440.0,3.0,26-21
2,Sat,1968-09-14,,Houston Oilers,@,Miami Dolphins,boxscore,396.0,3.0,295.0,4.0,24-10
2,Sun,1968-09-15,,Oakland Raiders,@,Buffalo Bills,boxscore,411.0,1.0,191.0,1.0,48-6
2,Sun,1968-09-15,,New York Jets,@,Kansas City Chiefs,boxscore,397.0,2.0,201.0,1.0,20-19
2,Sun,1968-09-15,,Cincinnati Bengals,,Denver Broncos,boxscore,289.0,0.0,199.0,1.0,24-10
3,Sat,1968-09-21,,Oakland Raiders,@,Miami Dolphins,boxscore,542.0,1.0,349.0,5.0,47-21
3,Sat,1968-09-21,,San Diego Chargers,,Houston Oilers,boxscore,347.0,3.0,285.0,3.0,30-14
3,Sun,1968-09-22,,New York Jets,@,Boston Patriots,boxscore,268.0,3.0,359.0,6.0,47-31
3,Sun,1968-09-22,,Kansas City Chiefs,,Denver Broncos,boxscore,341.0,2.0,245.0,4.0,34-2
3,Sun,1968-09-22,,Cincinnati Bengals,,Buffalo Bills,boxscore,201.0,2.0,215.0,2.0,34-23
4,Sat,1968-09-28,,Kansas City Chiefs,@,Miami Dolphins,boxscore,431.0,3.0,234.0,6.0,48-3
4,Sun,1968-09-29,,Boston Patriots,@,Denver Broncos,boxscore,212.0,1.0,234.0,3.0,20-17
4,Sun,1968-09-29,,San Diego Chargers,@,Cincinnati Bengals,boxscore,302.0,1.0,195.0,2.0,31-10
4,Sun,1968-09-29,,Buffalo Bills,,New York Jets,boxscore,197.0,2.0,427.0,6.0,37-35
4,Sun,1968-09-29,,Oakland Raiders,@,Houston Oilers,boxscore,305.0,3.0,324.0,4.0,24-15
5,Sat,1968-10-05,,New York Jets,,San Diego Chargers,boxscore,302.0,0.0,347.0,4.0,23-20
5,Sat,1968-10-05,,Kansas City Chiefs,@,Buffalo Bills,boxscore,353.0,2.0,251.0,5.0,18-7
5,Sun,1968-10-06,,Oakland Raiders,,Boston Patriots,boxscore,451.0,2.0,146.0,2.0,41-10
5,Sun,1968-10-06,,Miami Dolphins,@,Houston Oilers,boxscore,257.0,1.0,212.0,7.0,24-7
5,Sun,1968-10-06,,Denver Broncos,,Cincinnati Bengals,boxscore,211.0,0.0,247.0,1.0,10-7
6,Sat,1968-10-12,,Miami Dolphins,,Buffalo Bills,boxscore,171.0,2.0,237.0,3.0,14-14
6,Sun,1968-10-13,,Denver Broncos,@,New York Jets,boxscore,222.0,0.0,460.0,5.0,21-13
6,Sun,1968-10-13,,San Diego Chargers,@,Oakland Raiders,boxscore,384.0,1.0,260.0,5.0,23-14
