Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,YdsW,TOW,YdsL,TOL,Combined_Pts
1,Sun,1967-09-17,,Baltimore Colts,,Atlanta Falcons,boxscore,508.0,2.0,303.0,5.0,38-31
1,Sun,1967-09-17,,Pittsburgh Steelers,,Chicago Bears,boxscore,393.0,2.0,95.0,6.0,41-13
1,Sun,1967-09-17,,Dallas Cowboys,@,Cleveland Browns,boxscore,370.0,4.0,221.0,3.0,21-14
1,Sun,1967-09-17,,New York Giants,@,St. Louis Cardinals,boxscore,336.0,0.0,358.0,6.0,37-20
1,Sun,1967-09-17,,Green Bay Packers,,Detroit Lions,boxscore,306.0,5.0,233.0,1.0,17-17
1,Sun,1967-09-17,,San Francisco 49ers,@,Minnesota Vikings,boxscore,360.0,1.0,335.0,3.0,27-21
1,Sun,1967-09-17,,Los Angeles Rams,@,New Orleans Saints,boxscore,462.0,1.0,299.0,3.0,27-13
1,Sun,1967-09-17,,Philadelphia Eagles,,Washington Redskins,boxscore,426.0,2.0,388.0,1.0,35-24
2,Fri,1967-09-22,,Los Angeles Rams,,Minnesota Vikings,boxscore,237.0,2.0,224.0,6.0,39-3
2,Sun,1967-09-24,,San Francisco 49ers,,Atlanta Falcons,boxscore,517.0,2.0,97.0,1.0,38-7
2,Sun,1967-09-24,,Green Bay Packers,,Chicago Bears,boxscore,365.0,8.0,159.0,1.0,13-10
2,Sun,1967-09-24,,Detroit Lions,,Cleveland Browns,boxscore,461.0,0.0,269.0,3.0,31-14
2,Sun,1967-09-24,,Baltimore Colts,@,Philadelphia Eagles,boxscore,345.0,0.0,299.0,4.0,38-6
2,Sun,1967-09-24,,St. Louis Cardinals,@,Pittsburgh Steelers,boxscore,283.0,1.0,237.0,6.0,28-14
2,Sun,1967-09-24,,Dallas Cowboys,,New York Giants,boxscore,414.0,1.0,266.0,3.0,38-24
2,Sun,1967-09-24,,Washington Redskins,@,New Orleans Saints,boxscore,369.0,1.0,290.0,0.0,30-10
3,Sun,1967-10-01,,Green Bay Packers,,Atlanta Falcons,boxscore,382.0,2.0,58.0,2.0,23-0
3,Sun,1967-10-01,,Chicago Bears,@,Minnesota Vikings,boxscore,221.0,0.0,200.0,2.0,17-7
3,Sun,1967-10-01,,Cleveland Browns,@,New Orleans Saints,boxscore,421.0,4.0,266.0,5.0,42-7
3,Sun,1967-10-01,,Baltimore Colts,,San Francisco 49ers,boxscore,524.0,0.0,240.0,2.0,41-7
3,Sun,1967-10-01,,St. Louis Cardinals,,Detroit Lions,boxscore,403.0,1.0,310.0,3.0,38-28
3,Sun,1967-10-01,,Los Angeles Rams,@,Dallas Cowboys,boxscore,356.0,1.0,272.0,4.0,35-13
3,Sun,1967-10-01,,Washington Redskins,,New York Giants,boxscore,405.0,2.0,520.0,3.0,38-34
3,Sun,1967-10-01,,Philadelphia Eagles,,Pittsburgh Steelers,boxscore,319.0,1.0,318.0,3.0,34-24
4,Sat,1967-10-07,,Cleveland Browns,,Pittsburgh Steelers,boxscore,361.0,3.0,278.0,4.0,21-10
4,Sun,1967-10-08,,Philadelphia Eagles,@,Atlanta Falcons,boxscore,380.0,0.0,308.0,6.0,38-7
4,Sun,1967-10-08,,Baltimore Colts,@,Chicago Bears,boxscore,219.0,4.0,272.0,5.0,24-3
4,Sun,1967-10-08,,St. Louis Cardinals,@,Minnesota Vikings,boxscore,412.0,3.0,337.0,3.0,34-24
4,Sun,1967-10-08,,Dallas Cowboys,@,Washington Redskins,boxscore,320.0,2.0,253.0,3.0,17-14
4,Sun,1967-10-08,,Green Bay Packers,@,Detroit Lions,boxscore,249.0,4.0,122.0,5.0,27-17
4,Sun,1967-10-08,,New York Giants,,New Orleans Saints,boxscore,535.0,1.0,210.0,1.0,27-21
4,Sun,1967-10-08,,San Francisco 49ers,@,Los Angeles Rams,boxscore,335.0,3.0,253.0,6.0,27-24
5,Sun,1967-10-15,,Washington Redskins,@,Atlanta Falcons,boxscore,415.0,3.0,323.0,2.0,20-20
5,Sun,1967-10-15,,Chicago Bears,,Detroit Lions,boxscore,265.0,3.0,168.0,3.0,14-3
5,Sun,1967-10-15,,Cleveland Browns,,St. Louis Cardinals,boxscore,223.0,1.0,349.0,5.0,20-16
5,Sun,1967-10-15,,Los Angeles Rams,@,Baltimore Colts,boxscore,410.0,1.0,368.0,2.0,24-24
5,Sun,1967-10-15,,Dallas Cowboys,,New Orleans Saints,boxscore,234.0,3.0,207.0,3.0,14-10
5,Sun,1967-10-15,,Minnesota Vikings,@,Green Bay Packers,boxscore,183.0,2.0,268.0,3.0,10-7
5,Sun,1967-10-15,,New York Giants,@,Pittsburgh Steelers,boxscore,381.0,2.0,259.0,2.0,27-24
5,Sun,1967-10-15,,San Francisco 49ers,@,Philadelphia Eagles,boxscore,386.0,0.0,244.0,0.0,28-27
6,Sun,1967-10-22,,Detroit Lions,,Atlanta Falcons,boxscore,250.0,1.0,223.0,1.0,24-3
6,Sun,1967-10-22,,Cleveland Browns,,Chicago Bears,boxscore,347.0,1.0,136.0,2.0,24-0
6,Sun,1967-10-22,,Minnesota Vikings,,Baltimore Colts,boxscore,310.0,0.0,343.0,1.0,20-20
6,Sun,1967-10-22,,St. Louis Cardinals,,Philadelphia Eagles,boxscore,416.0,0.0,319.0,2.0,48-14
6,Sun,1967-10-22,,Dallas Cowboys,@,Pittsburgh Steelers,boxscore,378.0,1.0,379.0,2.0,24-21
