Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,YdsW,TOW,YdsL,TOL,Combined_Pts
1,Sun,1982-09-12,1:00PM,Atlanta Falcons,@,New York Giants,boxscore,272.0,3.0,378.0,4.0,16  -  14
1,Sun,1982-09-12,1:00PM,Buffalo Bills,,Kansas City Chiefs,boxscore,259.0,0.0,229.0,2.0,14  -  9
1,Sun,1982-09-12,1:00PM,Detroit Lions,,Chicago Bears,boxscore,212.0,1.0,154.0,1.0,17  -  10
1,Sun,1982-09-12,1:00PM,Cincinnati Bengals,,Houston Oilers,boxscore,419.0,0.0,171.0,1.0,27  -  6
1,Sun,1982-09-12,1:00PM,St. Louis Cardinals,@,New Orleans Saints,boxscore,150.0,1.0,290.0,4.0,21  -  7
1,Sun,1982-09-12,1:00PM,Green Bay Packers,,Los Angeles Rams,boxscore,377.0,6.0,271.0,3.0,35  -  23
1,Sun,1982-09-12,1:00PM,Minnesota Vikings,,Tampa Bay Buccaneers,boxscore,216.0,1.0,355.0,4.0,17  -  10
1,Sun,1982-09-12,1:00PM,Washington Redskins,@,Philadelphia Eagles,boxscore,487.0,2.0,426.0,1.0,37  -  34
1,Sun,1982-09-12,2:00PM,New England Patriots,@,Baltimore Colts,boxscore,330.0,1.0,352.0,4.0,24  -  13
1,Sun,1982-09-12,4:00PM,Cleveland Browns,@,Seattle Seahawks,boxscore,330.0,1.0,180.0,3.0,21  -  7
1,Sun,1982-09-12,4:00PM,San Diego Chargers,@,Denver Broncos,boxscore,393.0,0.0,323.0,6.0,23  -  3
1,Sun,1982-09-12,4:00PM,Miami Dolphins,@,New York Jets,boxscore,323.0,2.0,341.0,4.0,45  -  28
1,Sun,1982-09-12,4:00PM,Los Angeles Raiders,@,San Francisco 49ers,boxscore,255.0,4.0,252.0,4.0,23  -  17
1,Mon,1982-09-13,9:00PM,Pittsburgh Steelers,@,Dallas Cowboys,boxscore,388.0,1.0,436.0,4.0,36  -  28
2,Thu,1982-09-16,8:30PM,Buffalo Bills,,Minnesota Vikings,boxscore,451.0,2.0,371.0,1.0,23  -  22
2,Sun,1982-09-19,1:00PM,Los Angeles Raiders,@,Atlanta Falcons,boxscore,364.0,1.0,385.0,5.0,38  -  14
2,Sun,1982-09-19,1:00PM,New Orleans Saints,@,Chicago Bears,boxscore,317.0,1.0,183.0,3.0,10  -  0
2,Sun,1982-09-19,1:00PM,Pittsburgh Steelers,,Cincinnati Bengals,boxscore,295.0,0.0,379.0,3.0,26  -  20
2,Sun,1982-09-19,1:00PM,Philadelphia Eagles,@,Cleveland Browns,boxscore,423.0,2.0,366.0,3.0,24  -  21
2,Sun,1982-09-19,1:00PM,Dallas Cowboys,@,St. Louis Cardinals,boxscore,379.0,2.0,311.0,1.0,24  -  7
2,Sun,1982-09-19,1:00PM,Kansas City Chiefs,,San Diego Chargers,boxscore,282.0,1.0,282.0,3.0,19  -  12
2,Sun,1982-09-19,1:00PM,New York Jets,@,New England Patriots,boxscore,396.0,2.0,57.0,3.0,31  -  7
2,Sun,1982-09-19,4:00PM,Miami Dolphins,,Baltimore Colts,boxscore,303.0,2.0,256.0,0.0,24  -  20
2,Sun,1982-09-19,4:00PM,Denver Broncos,,San Francisco 49ers,boxscore,283.0,2.0,413.0,2.0,24  -  21
2,Sun,1982-09-19,4:00PM,Detroit Lions,@,Los Angeles Rams,boxscore,355.0,2.0,375.0,5.0,19  -  14
2,Sun,1982-09-19,4:00PM,Houston Oilers,,Seattle Seahawks,boxscore,282.0,3.0,303.0,3.0,23  -  21
2,Sun,1982-09-19,4:00PM,Washington Redskins,@,Tampa Bay Buccaneers,boxscore,248.0,0.0,278.0,4.0,21  -  13
2,Mon,1982-09-20,9:00PM,Green Bay Packers,@,New York Giants,boxscore,361.0,1.0,267.0,3.0,27  -  19
11,Sun,1982-11-21,1:00PM,Atlanta Falcons,,Los Angeles Rams,boxscore,387.0,0.0,274.0,2.0,34  -  17
11,Sun,1982-11-21,1:00PM,Miami Dolphins,@,Buffalo Bills,boxscore,249.0,2.0,258.0,7.0,9  -  7
11,Sun,1982-11-21,1:00PM,Chicago Bears,,Detroit Lions,boxscore,365.0,3.0,152.0,2.0,20  -  17
11,Sun,1982-11-21,1:00PM,Cincinnati Bengals,@,Philadelphia Eagles,boxscore,310.0,4.0,275.0,3.0,18  -  14
11,Sun,1982-11-21,1:00PM,Cleveland Browns,,New England Patriots,boxscore,225.0,0.0,265.0,2.0,10  -  7
11,Sun,1982-11-21,1:00PM,New York Jets,,Baltimore Colts,boxscore,476.0,0.0,318.0,3.0,37  -  0
11,Sun,1982-11-21,1:00PM,Dallas Cowboys,,Tampa Bay Buccaneers,boxscore,185.0,1.0,382.0,1.0,14  -  9
11,Sun,1982-11-21,1:00PM,Green Bay Packers,,Minnesota Vikings,boxscore,359.0,1.0,184.0,1.0,26  -  7
11,Sun,1982-11-21,1:00PM,New Orleans Saints,,Kansas City Chiefs,boxscore,293.0,1.0,286.0,2.0,27  -  17
11,Sun,1982-11-21,1:00PM,Pittsburgh Steelers,@,Houston Oilers,boxscore,362.0,3.0,292.0,4.0,24  -  10
11,Sun,1982-11-21,4:00PM,San Francisco 49ers,@,St. Louis Cardinals,boxscore,448.0,3.0,254.0,0.0,31  -  20
11,Sun,1982-11-21,4:00PM,Seattle Seahawks,@,Denver Broncos,boxscore,387.0,1.0,250.0,2.0,17  -  10
11,Sun,1982-11-21,4:00PM,Washington Redskins,@,New York Giants,boxscore,312.0,0.0,287.0,1.0,27  -  17
11,Mon,1982-11-22,9:00PM,Los Angeles Raiders,,San Diego Chargers,boxscore,326.0,2.0,411.0,4.0,28  -  24
12,Thu,1982-11-25,12:00PM,New York Giants,@,Detroit Lions,boxscore,206.0,3.0,321.0,4.0,13  -  6
12,Thu,1982-11-25,4:00PM,Dallas Cowboys,,Cleveland Browns,boxscore,496.0,4.0,280.0,5.0,31  -  14
12,Sun,1982-11-28,1:00PM,St. Louis Cardinals,@,Atlanta Falcons,boxscore,299.0,0.0,274.0,2.0,23  -  20
12,Sun,1982-11-28,1:00PM,Buffalo Bills,,Baltimore Colts,boxscore,312.0,0.0,88.0,1.0,20  -  0
12,Sun,1982-11-28,1:00PM,Minnesota Vikings,,Chicago Bears,boxscore,384.0,3.0,197.0,5.0,35  -  7
12,Sun,1982-11-28,1:00PM,Cincinnati Bengals,,Los Angeles Raiders,boxscore,347.0,2.0,335.0,4.0,31  -  17
12,Sun,1982-11-28,1:00PM,New York Jets,,Green Bay Packers,boxscore,355.0,2.0,263.0,1.0,15  -  13
12,Sun,1982-11-28,1:00PM,New England Patriots,,Houston Oilers,boxscore,378.0,3.0,240.0,3.0,29  -  21
12,Sun,1982-11-28,1:00PM,Washington Redskins,,Philadelphia Eagles,boxscore,295.0,3.0,319.0,5.0,13  -  9
