Week,Day,Date,Time,Winner/tie,,Loser/tie,,Pts,Pts.1,YdsW,TOW,YdsL,TOL
9,Sun,1966-11-06,,Minnesota Vikings,@,Green Bay Packers,boxscore,20,17,290,0,292,1
9,Sun,1966-11-06,,San Francisco 49ers,,Los Angeles Rams,boxscore,21,13,358,2,142,1
10,Sun,1966-11-13,,Baltimore Colts,@,Atlanta Falcons,boxscore,19,7,200,3,241,7
10,Sun,1966-11-13,,San Francisco 49ers,@,Chicago Bears,boxscore,30,30,423,3,220,1
10,Sun,1966-11-13,,Cleveland Browns,,Philadelphia Eagles,boxscore,27,7,345,0,290,4
10,Sun,1966-11-13,,Dallas Cowboys,@,Washington Redskins,boxscore,31,30,515,3,341,0
10,Sun,1966-11-13,,Los Angeles Rams,,New York Giants,boxscore,55,14,572,1,103,3
10,Sun,1966-11-13,,Pittsburgh Steelers,,St. Louis Cardinals,boxscore,30,9,150,3,251,4
10,Sun,1966-11-13,,Detroit Lions,@,Minnesota Vikings,boxscore,32,31,268,4,232,5
11,Sun,1966-11-20,,Atlanta Falcons,@,New York Giants,boxscore,27,16,289,1,303,4
11,Sun,1966-11-20,,Green Bay Packers,,Chicago Bears,boxscore,13,6,296,2,160,4
11,Sun,1966-11-20,,Cleveland Browns,,Washington Redskins,boxscore,14,3,271,2,327,4
11,Sun,1966-11-20,,Detroit Lions,,Baltimore Colts,boxscore,20,14,281,4,289,6
11,Sun,1966-11-20,,Dallas Cowboys,@,Pittsburgh Steelers,boxscore,20,7,258,1,163,3
11,Sun,1966-11-20,,Los Angeles Rams,,Minnesota Vikings,boxscore,21,6,228,1,186,4
11,Sun,1966-11-20,,Philadelphia Eagles,@,San Francisco 49ers,boxscore,35,34,289,5,404,5
12,Thu,1966-11-24,,Dallas Cowboys,,Cleveland Browns,boxscore,26,14,304,0,321,1
12,Thu,1966-11-24,,San Francisco 49ers,@,Detroit Lions,boxscore,41,14,487,3,196,2
12,Sun,1966-11-27,,Chicago Bears,,Atlanta Falcons,boxscore,23,6,476,4,167,3
12,Sun,1966-11-27,,Los Angeles Rams,@,Baltimore Colts,boxscore,23,7,310,1,140,2
12,Sun,1966-11-27,,St. Louis Cardinals,,Pittsburgh Steelers,boxscore,6,3,228,1,78,2
12,Sun,1966-11-27,,Green Bay Packers,@,Minnesota Vikings,boxscore,28,16,304,1,322,2
12,Sun,1966-11-27,,Washington Redskins,,New York Giants,boxscore,72,41,341,2,389,6
13,Sun,1966-12-04,,Atlanta Falcons,@,Minnesota Vikings,boxscore,20,13,187,0,270,6
13,Sun,1966-12-04,,Baltimore Colts,,Chicago Bears,boxscore,21,16,260,2,296,3
13,Sun,1966-12-04,,Cleveland Browns,,New York Giants,boxscore,49,40,447,3,335,1
13,Sun,1966-12-04,,Dallas Cowboys,,St. Louis Cardinals,boxscore,31,17,190,1,295,5
13,Sun,1966-12-04,,Green Bay Packers,,San Francisco 49ers,boxscore,20,7,311,1,321,4
13,Sun,1966-12-04,,Philadelphia Eagles,,Pittsburgh Steelers,boxscore,27,23,304,2,250,2
13,Sun,1966-12-04,,Los Angeles Rams,,Detroit Lions,boxscore,23,3,293,0,305,4
14,Sat,1966-12-10,,Green Bay Packers,@,Baltimore Colts,boxscore,14,10,242,1,283,5
14,Sun,1966-12-11,,Atlanta Falcons,,St. Louis Cardinals,boxscore,16,10,192,2,296,3
14,Sun,1966-12-11,,San Francisco 49ers,,Chicago Bears,boxscore,41,14,411,2,129,4
14,Sun,1966-12-11,,Philadelphia Eagles,,Cleveland Browns,boxscore,33,21,320,5,349,3
14,Sun,1966-12-11,,Washington Redskins,@,Dallas Cowboys,boxscore,34,31,399,2,370,1
14,Sun,1966-12-11,,Pittsburgh Steelers,@,New York Giants,boxscore,47,28,392,1,310,2
14,Sun,1966-12-11,,Minnesota Vikings,@,Detroit Lions,boxscore,28,16,317,3,282,2
15,Sat,1966-12-17,,Cleveland Browns,@,St. Louis Cardinals,boxscore,38,10,428,1,227,3
15,Sun,1966-12-18,,Pittsburgh Steelers,@,Atlanta Falcons,boxscore,57,33,458,1,370,5
15,Sun,1966-12-18,,Chicago Bears,,Minnesota Vikings,boxscore,41,28,380,0,460,4
15,Sun,1966-12-18,,Baltimore Colts,@,San Francisco 49ers,boxscore,30,14,403,1,305,3
15,Sun,1966-12-18,,Dallas Cowboys,@,New York Giants,boxscore,17,7,257,2,262,2
15,Sun,1966-12-18,,Green Bay Packers,@,Los Angeles Rams,boxscore,27,23,355,4,351,2
15,Sun,1966-12-18,,Philadelphia Eagles,@,Washington Redskins,boxscore,37,28,310,4,355,6

,,Playoffs,,,,,,,,,,,
Champ,Sun,1967-01-01,,Green Bay Packers,@,Dallas Cowboys,boxscore,34,27,367,1,418,2
SuperBowl,Sun,1967-01-15,,Green Bay Packers,N,Kansas City Chiefs,boxscore,35,10,358,1,239,1
