Week,Day,Date,Time,Winner/tie,,Loser/tie,,Pts,Pts.1,YdsW,TOW,YdsL,TOL
1,Sun,1967-09-03,,Denver Broncos,,Boston Patriots,boxscore,26,21,209,1,302,7
2,Sat,1967-09-09,,Kansas City Chiefs,@,Houston Oilers,boxscore,25,20,312,1,336,2
2,Sat,1967-09-09,,San Diego Chargers,,Boston Patriots,boxscore,28,14,330,2,322,4
2,Sun,1967-09-10,,Buffalo Bills,,New York Jets,boxscore,20,17,248,2,287,0
2,Sun,1967-09-10,,Oakland Raiders,,Denver Broncos,boxscore,51,0,388,1,-5,2
3,Sun,1967-09-17,,Houston Oilers,@,Buffalo Bills,boxscore,20,3,139,2,193,4
3,Sun,1967-09-17,,Oakland Raiders,,Boston Patriots,boxscore,35,7,367,1,256,5
3,Sun,1967-09-17,,Miami Dolphins,,Denver Broncos,boxscore,35,21,435,3,126,2
4,Sun,1967-09-24,,Kansas City Chiefs,@,Miami Dolphins,boxscore,24,0,349,1,124,5
4,Sun,1967-09-24,,San Diego Chargers,,Houston Oilers,boxscore,13,3,325,1,166,2
4,Sun,1967-09-24,,Boston Patriots,@,Buffalo Bills,boxscore,23,0,265,0,241,6
4,Sun,1967-09-24,,New York Jets,@,Denver Broncos,boxscore,38,24,478,2,359,2
5,Sun,1967-10-01,,Oakland Raiders,,Kansas City Chiefs,boxscore,23,21,306,2,243,3
5,Sun,1967-10-01,,New York Jets,,Miami Dolphins,boxscore,29,7,484,1,208,3
5,Sun,1967-10-01,,San Diego Chargers,@,Buffalo Bills,boxscore,37,17,484,0,247,3
5,Sun,1967-10-01,,Houston Oilers,,Denver Broncos,boxscore,10,6,242,2,238,3
6,Sat,1967-10-07,,New York Jets,,Oakland Raiders,boxscore,27,14,297,3,210,4
6,Sun,1967-10-08,,Kansas City Chiefs,,Miami Dolphins,boxscore,41,0,335,0,206,6
6,Sun,1967-10-08,,San Diego Chargers,,Boston Patriots,boxscore,31,31,285,1,387,1
6,Sun,1967-10-08,,Buffalo Bills,@,Denver Broncos,boxscore,17,16,297,4,190,1
7,Sun,1967-10-15,,Houston Oilers,@,New York Jets,boxscore,28,28,131,3,367,6
7,Sun,1967-10-15,,San Diego Chargers,,Kansas City Chiefs,boxscore,45,31,452,2,445,4
7,Sun,1967-10-15,,Boston Patriots,,Miami Dolphins,boxscore,41,10,450,4,223,6
7,Sun,1967-10-15,,Oakland Raiders,@,Buffalo Bills,boxscore,24,20,223,5,158,2
8,Sun,1967-10-22,,New York Jets,@,Miami Dolphins,boxscore,33,14,335,0,246,2
8,Sun,1967-10-22,,Houston Oilers,@,Kansas City Chiefs,boxscore,24,19,127,1,323,3
8,Sun,1967-10-22,,Oakland Raiders,@,Boston Patriots,boxscore,48,14,395,3,83,4
8,Sun,1967-10-22,,San Diego Chargers,@,Denver Broncos,boxscore,38,21,490,2,255,1
9,Sun,1967-10-29,,Houston Oilers,,Buffalo Bills,boxscore,10,3,181,3,215,4
9,Sun,1967-10-29,,Oakland Raiders,,San Diego Chargers,boxscore,51,10,437,2,341,5
9,Sun,1967-10-29,,Kansas City Chiefs,,Denver Broncos,boxscore,52,9,444,1,268,6
9,Sun,1967-10-29,,New York Jets,,Boston Patriots,boxscore,30,23,409,3,170,2
10,Sun,1967-11-05,,Buffalo Bills,,Miami Dolphins,boxscore,35,13,310,3,127,2
10,Sun,1967-11-05,,Kansas City Chiefs,,New York Jets,boxscore,42,18,392,1,340,4
10,Sun,1967-11-05,,Oakland Raiders,@,Denver Broncos,boxscore,21,17,327,2,119,1
10,Sun,1967-11-05,,Boston Patriots,,Houston Oilers,boxscore,18,7,345,1,200,1
11,Sun,1967-11-12,,San Diego Chargers,,Miami Dolphins,boxscore,24,0,332,4,243,1
11,Sun,1967-11-12,,New York Jets,,Buffalo Bills,boxscore,20,10,360,3,257,2
11,Sun,1967-11-12,,Kansas City Chiefs,@,Boston Patriots,boxscore,33,10,297,3,318,5
11,Sun,1967-11-12,,Houston Oilers,@,Denver Broncos,boxscore,20,18,386,3,222,1
12,Sun,1967-11-19,,Oakland Raiders,,Miami Dolphins,boxscore,31,17,396,2,280,4
12,Sun,1967-11-19,,San Diego Chargers,@,Kansas City Chiefs,boxscore,17,16,327,3,297,0
12,Sun,1967-11-19,,Denver Broncos,@,Buffalo Bills,boxscore,21,20,194,3,367,3
12,Sun,1967-11-19,,New York Jets,@,Boston Patriots,boxscore,29,24,390,3,276,3
13,Thu,1967-11-23,,Oakland Raiders,@,Kansas City Chiefs,boxscore,44,22,459,2,192,4
13,Thu,1967-11-23,,San Diego Chargers,,Denver Broncos,boxscore,24,20,300,2,358,3
13,Sun,1967-11-26,,Miami Dolphins,,Buffalo Bills,boxscore,17,14,318,3,351,4
13,Sun,1967-11-26,,Houston Oilers,,Boston Patriots,boxscore,27,6,250,2,233,5
14,Sun,1967-12-03,,Oakland Raiders,@,San Diego Chargers,boxscore,41,21,460,0,418,3
14,Sun,1967-12-03,,Houston Oilers,,Miami Dolphins,boxscore,17,14,454,3,216,1
14,Sun,1967-12-03,,Kansas City Chiefs,,Buffalo Bills,boxscore,23,13,257,1,242,4
14,Sun,1967-12-03,,Denver Broncos,@,New York Jets,boxscore,33,24,142,0,345,6
15,Sat,1967-12-09,,Buffalo Bills,@,Boston Patriots,boxscore,44,16,252,2,150,7
15,Sun,1967-12-10,,Oakland Raiders,@,Houston Oilers,boxscore,19,7,421,2,238,2
15,Sun,1967-12-10,,Miami Dolphins,,San Diego Chargers,boxscore,41,24,325,1,269,6
15,Sun,1967-12-10,,Kansas City Chiefs,@,New York Jets,boxscore,21,7,204,2,167,3
16,Sat,1967-12-16,,Houston Oilers,,San Diego Chargers,boxscore,24,17,334,1,296,0
16,Sun,1967-12-17,,Miami Dolphins,,Boston Patriots,boxscore,41,32,359,0,470,6
16,Sun,1967-12-17,,Oakland Raiders,,New York Jets,boxscore,38,29,455,4,464,3
16,Sun,1967-12-17,,Kansas City Chiefs,@,Denver Broncos,boxscore,38,24,400,3,272,4
17,Sat,1967-12-23,,Houston Oilers,@,Miami Dolphins,boxscore,41,10,319,0,349,7
17,Sun,1967-12-24,,New York Jets,@,San Diego Chargers,boxscore,42,31,429,0,476,3
17,Sun,1967-12-24,,Oakland Raiders,,Buffalo Bills,boxscore,28,21,272,6,210,4
,,Playoffs,,,,,,,,,,,
Champ,Sun,1967-12-31,,Oakland Raiders,,Houston Oilers,boxscore,40,7,364,0,146,3
SuperBowl,Sun,1968-01-14,,Green Bay Packers,N,Oakland Raiders,boxscore,33,14,322,0,293,3
