Week,Day,Date,Time,Winner/tie,,Loser/tie,,Pts,Pts.1,YdsW,TOW,YdsL,TOL
1,Sun,1982-09-12,1:00PM,Atlanta Falcons,@,New York Giants,boxscore,16,14,272,3,378,4
1,Sun,1982-09-12,1:00PM,Buffalo Bills,,Kansas City Chiefs,boxscore,14,9,259,0,229,2
1,Sun,1982-09-12,1:00PM,Detroit Lions,,Chicago Bears,boxscore,17,10,212,1,154,1
1,Sun,1982-09-12,1:00PM,Cincinnati Bengals,,Houston Oilers,boxscore,27,6,419,0,171,1
1,Sun,1982-09-12,1:00PM,St. Louis Cardinals,@,New Orleans Saints,boxscore,21,7,150,1,290,4
1,Sun,1982-09-12,1:00PM,Green Bay Packers,,Los Angeles Rams,boxscore,35,23,377,6,271,3
1,Sun,1982-09-12,1:00PM,Minnesota Vikings,,Tampa Bay Buccaneers,boxscore,17,10,216,1,355,4
1,Sun,1982-09-12,1:00PM,Washington Redskins,@,Philadelphia Eagles,boxscore,37,34,487,2,426,1
1,Sun,1982-09-12,2:00PM,New England Patriots,@,Baltimore Colts,boxscore,24,13,330,1,352,4
1,Sun,1982-09-12,4:00PM,Cleveland Browns,@,Seattle Seahawks,boxscore,21,7,330,1,180,3
1,Sun,1982-09-12,4:00PM,San Diego Chargers,@,Denver Broncos,boxscore,23,3,393,0,323,6
1,Sun,1982-09-12,4:00PM,Miami Dolphins,@,New York Jets,boxscore,45,28,323,2,341,4
1,Sun,1982-09-12,4:00PM,Los Angeles Raiders,@,San Francisco 49ers,boxscore,23,17,255,4,252,4
1,Mon,1982-09-13,9:00PM,Pittsburgh Steelers,@,Dallas Cowboys,boxscore,36,28,388,1,436,4
2,Thu,1982-09-16,8:30PM,Buffalo Bills,,Minnesota Vikings,boxscore,23,22,451,2,371,1
2,Sun,1982-09-19,1:00PM,Los Angeles Raiders,@,Atlanta Falcons,boxscore,38,14,364,1,385,5
2,Sun,1982-09-19,1:00PM,New Orleans Saints,@,Chicago Bears,boxscore,10,0,317,1,183,3
2,Sun,1982-09-19,1:00PM,Pittsburgh Steelers,,Cincinnati Bengals,boxscore,26,20,295,0,379,3
2,Sun,1982-09-19,1:00PM,Philadelphia Eagles,@,Cleveland Browns,boxscore,24,21,423,2,366,3
2,Sun,1982-09-19,1:00PM,Dallas Cowboys,@,St. Louis Cardinals,boxscore,24,7,379,2,311,1
2,Sun,1982-09-19,1:00PM,Kansas City Chiefs,,San Diego Chargers,boxscore,19,12,282,1,282,3
2,Sun,1982-09-19,1:00PM,New York Jets,@,New England Patriots,boxscore,31,7,396,2,57,3
2,Sun,1982-09-19,4:00PM,Miami Dolphins,,Baltimore Colts,boxscore,24,20,303,2,256,0
2,Sun,1982-09-19,4:00PM,Denver Broncos,,San Francisco 49ers,boxscore,24,21,283,2,413,2
2,Sun,1982-09-19,4:00PM,Detroit Lions,@,Los Angeles Rams,boxscore,19,14,355,2,375,5
2,Sun,1982-09-19,4:00PM,Houston Oilers,,Seattle Seahawks,boxscore,23,21,282,3,303,3
2,Sun,1982-09-19,4:00PM,Washington Redskins,@,Tampa Bay Buccaneers,boxscore,21,13,248,0,278,4
2,Mon,1982-09-20,9:00PM,Green Bay Packers,@,New York Giants,boxscore,27,19,361,1,267,3
11,Sun,1982-11-21,1:00PM,Atlanta Falcons,,Los Angeles Rams,boxscore,34,17,387,0,274,2
11,Sun,1982-11-21,1:00PM,Miami Dolphins,@,Buffalo Bills,boxscore,9,7,249,2,258,7
11,Sun,1982-11-21,1:00PM,Chicago Bears,,Detroit Lions,boxscore,20,17,365,3,152,2
11,Sun,1982-11-21,1:00PM,Cincinnati Bengals,@,Philadelphia Eagles,boxscore,18,14,310,4,275,3
11,Sun,1982-11-21,1:00PM,Cleveland Browns,,New England Patriots,boxscore,10,7,225,0,265,2
11,Sun,1982-11-21,1:00PM,New York Jets,,Baltimore Colts,boxscore,37,0,476,0,318,3
11,Sun,1982-11-21,1:00PM,Dallas Cowboys,,Tampa Bay Buccaneers,boxscore,14,9,185,1,382,1
11,Sun,1982-11-21,1:00PM,Green Bay Packers,,Minnesota Vikings,boxscore,26,7,359,1,184,1
11,Sun,1982-11-21,1:00PM,New Orleans Saints,,Kansas City Chiefs,boxscore,27,17,293,1,286,2
11,Sun,1982-11-21,1:00PM,Pittsburgh Steelers,@,Houston Oilers,boxscore,24,10,362,3,292,4
11,Sun,1982-11-21,4:00PM,San Francisco 49ers,@,St. Louis Cardinals,boxscore,31,20,448,3,254,0
11,Sun,1982-11-21,4:00PM,Seattle Seahawks,@,Denver Broncos,boxscore,17,10,387,1,250,2
11,Sun,1982-11-21,4:00PM,Washington Redskins,@,New York Giants,boxscore,27,17,312,0,287,1
11,Mon,1982-11-22,9:00PM,Los Angeles Raiders,,San Diego Chargers,boxscore,28,24,326,2,411,4
12,Thu,1982-11-25,12:00PM,New York Giants,@,Detroit Lions,boxscore,13,6,206,3,321,4
12,Thu,1982-11-25,4:00PM,Dallas Cowboys,,Cleveland Browns,boxscore,31,14,496,4,280,5
12,Sun,1982-11-28,1:00PM,St. Louis Cardinals,@,Atlanta Falcons,boxscore,23,20,299,0,274,2
12,Sun,1982-11-28,1:00PM,Buffalo Bills,,Baltimore Colts,boxscore,20,0,312,0,88,1
12,Sun,1982-11-28,1:00PM,Minnesota Vikings,,Chicago Bears,boxscore,35,7,384,3,197,5
12,Sun,1982-11-28,1:00PM,Cincinnati Bengals,,Los Angeles Raiders,boxscore,31,17,347,2,335,4
12,Sun,1982-11-28,1:00PM,New York Jets,,Green Bay Packers,boxscore,15,13,355,2,263,1
12,Sun,1982-11-28,1:00PM,New England Patriots,,Houston Oilers,boxscore,29,21,378,3,240,3
12,Sun,1982-11-28,1:00PM,Washington Redskins,,Philadelphia Eagles,boxscore,13,9,295,3,319,5
12,Sun,1982-11-28,4:00PM,San Diego Chargers,,Denver Broncos,boxscore,30,20,436,3,294,5
12,Sun,1982-11-28,4:00PM,Los Angeles Rams,,Kansas City Chiefs,boxscore,20,14,281,4,278,1
12,Sun,1982-11-28,4:00PM,New Orleans Saints,@,San Francisco 49ers,boxscore,23,20,324,1,376,3
12,Sun,1982-11-28,4:00PM,Seattle Seahawks,,Pittsburgh Steelers,boxscore,16,0,290,1,218,5
12,Mon,1982-11-29,9:00PM,Tampa Bay Buccaneers,,Miami Dolphins,boxscore,23,17,215,0,330,6
13,Thu,1982-12-02,9:00PM,San Francisco 49ers,@,Los Angeles Rams,boxscore,30,24,375,1,341,2
13,Sun,1982-12-05,1:00PM,Green Bay Packers,,Buffalo Bills,boxscore,33,21,301,3,336,5
13,Sun,1982-12-05,1:00PM,Chicago Bears,,New England Patriots,boxscore,26,13,342,3,249,4
13,Sun,1982-12-05,1:00PM,San Diego Chargers,@,Cleveland Browns,boxscore,30,13,382,2,398,2
13,Sun,1982-12-05,1:00PM,St. Louis Cardinals,@,Philadelphia Eagles,boxscore,23,20,360,2,245,2
13,Sun,1982-12-05,1:00PM,Pittsburgh Steelers,,Kansas City Chiefs,boxscore,35,14,376,2,238,2
13,Sun,1982-12-05,1:00PM,Miami Dolphins,,Minnesota Vikings,boxscore,22,14,301,1,182,4
13,Sun,1982-12-05,1:00PM,Tampa Bay Buccaneers,@,New Orleans Saints,boxscore,13,10,271,0,380,3
13,Sun,1982-12-05,1:00PM,New York Giants,,Houston Oilers,boxscore,17,14,401,1,268,0
13,Sun,1982-12-05,4:00PM,Atlanta Falcons,@,Denver Broncos,boxscore,34,27,342,2,350,4
13,Sun,1982-12-05,4:00PM,Cincinnati Bengals,@,Baltimore Colts,boxscore,20,17,290,0,333,0
13,Sun,1982-12-05,4:00PM,Dallas Cowboys,@,Washington Redskins,boxscore,24,10,362,2,275,3
13,Sun,1982-12-05,4:00PM,Los Angeles Raiders,,Seattle Seahawks,boxscore,28,23,235,1,331,4
13,Mon,1982-12-06,9:00PM,New York Jets,@,Detroit Lions,boxscore,28,13,437,3,274,5
14,Sat,1982-12-11,12:30PM,New York Giants,,Philadelphia Eagles,boxscore,23,7,353,1,198,2
14,Sat,1982-12-11,4:00PM,San Diego Chargers,@,San Francisco 49ers,boxscore,41,37,538,0,465,2
