Week,Day,Date,Time,Winner/tie,,Loser/tie,,Pts,Pts.1,YdsW,TOW,YdsL,TOL
14,Sun,1982-12-12,12:00PM,Buffalo Bills,,Pittsburgh Steelers,boxscore,13,0,339,2,94,4
14,Sun,1982-12-12,1:00PM,Cincinnati Bengals,,Cleveland Browns,boxscore,23,10,256,1,210,4
14,Sun,1982-12-12,1:00PM,Minnesota Vikings,,Baltimore Colts,boxscore,13,10,345,1,198,2
14,Sun,1982-12-12,1:00PM,Washington Redskins,@,St. Louis Cardinals,boxscore,12,7,292,1,356,3
14,Sun,1982-12-12,1:00PM,Detroit Lions,@,Green Bay Packers,boxscore,30,10,296,4,200,5
14,Sun,1982-12-12,1:00PM,New England Patriots,,Miami Dolphins,boxscore,3,0,212,1,235,2
14,Sun,1982-12-12,1:00PM,New York Jets,,Tampa Bay Buccaneers,boxscore,32,17,307,2,251,5
14,Sun,1982-12-12,4:00PM,Atlanta Falcons,,New Orleans Saints,boxscore,35,0,329,4,91,6
14,Sun,1982-12-12,4:00PM,Seattle Seahawks,,Chicago Bears,boxscore,20,14,290,0,310,2
14,Sun,1982-12-12,4:00PM,Denver Broncos,@,Los Angeles Rams,boxscore,27,24,385,3,253,3
14,Sun,1982-12-12,4:00PM,Los Angeles Raiders,@,Kansas City Chiefs,boxscore,21,16,343,3,285,0
14,Mon,1982-12-13,9:00PM,Dallas Cowboys,@,Houston Oilers,boxscore,37,7,416,2,199,3
15,Sat,1982-12-18,12:30PM,Miami Dolphins,,New York Jets,boxscore,20,19,304,3,274,2
15,Sat,1982-12-18,4:00PM,Los Angeles Raiders,,Los Angeles Rams,boxscore,37,31,431,4,272,2
15,Sun,1982-12-19,1:00PM,St. Louis Cardinals,@,Chicago Bears,boxscore,10,7,240,3,273,1
15,Sun,1982-12-19,1:00PM,Cleveland Browns,,Pittsburgh Steelers,boxscore,10,9,224,2,222,5
15,Sun,1982-12-19,1:00PM,Minnesota Vikings,@,Detroit Lions,boxscore,34,31,332,0,346,3
15,Sun,1982-12-19,1:00PM,Washington Redskins,,New York Giants,boxscore,15,14,375,5,139,2
15,Sun,1982-12-19,1:00PM,Philadelphia Eagles,,Houston Oilers,boxscore,35,14,362,2,218,4
15,Sun,1982-12-19,2:00PM,Green Bay Packers,@,Baltimore Colts,boxscore,20,20,362,2,295,1
15,Sun,1982-12-19,4:00PM,Tampa Bay Buccaneers,,Buffalo Bills,boxscore,24,23,342,4,318,5
15,Sun,1982-12-19,4:00PM,Dallas Cowboys,,New Orleans Saints,boxscore,21,7,316,5,301,4
15,Sun,1982-12-19,4:00PM,Kansas City Chiefs,@,Denver Broncos,boxscore,37,16,270,1,220,4
15,Sun,1982-12-19,4:00PM,New England Patriots,@,Seattle Seahawks,boxscore,16,0,393,1,171,6
15,Sun,1982-12-19,9:00PM,Atlanta Falcons,@,San Francisco 49ers,boxscore,17,7,391,2,219,2
15,Mon,1982-12-20,9:00PM,San Diego Chargers,,Cincinnati Bengals,boxscore,50,34,661,3,441,1
16,Sun,1982-12-26,1:00PM,Green Bay Packers,@,Atlanta Falcons,boxscore,38,7,411,3,335,1
16,Sun,1982-12-26,1:00PM,Cincinnati Bengals,,Seattle Seahawks,boxscore,24,10,389,3,279,3
16,Sun,1982-12-26,1:00PM,Cleveland Browns,@,Houston Oilers,boxscore,20,14,340,1,369,6
16,Sun,1982-12-26,1:00PM,St. Louis Cardinals,,New York Giants,boxscore,24,21,376,1,394,0
16,Sun,1982-12-26,1:00PM,Tampa Bay Buccaneers,,Detroit Lions,boxscore,23,21,377,2,210,2
16,Sun,1982-12-26,1:00PM,San Francisco 49ers,@,Kansas City Chiefs,boxscore,26,13,370,3,275,2
16,Sun,1982-12-26,1:00PM,Pittsburgh Steelers,,New England Patriots,boxscore,37,14,494,2,331,1
16,Sun,1982-12-26,4:00PM,Chicago Bears,@,Los Angeles Rams,boxscore,34,26,421,0,583,3
16,Sun,1982-12-26,4:00PM,San Diego Chargers,,Baltimore Colts,boxscore,44,26,507,3,370,5
16,Sun,1982-12-26,4:00PM,Philadelphia Eagles,@,Dallas Cowboys,boxscore,24,20,236,4,245,4
16,Sun,1982-12-26,4:00PM,Los Angeles Raiders,,Denver Broncos,boxscore,27,10,312,4,345,6
16,Sun,1982-12-26,4:00PM,New York Jets,@,Minnesota Vikings,boxscore,42,14,324,1,484,3
16,Sun,1982-12-26,4:00PM,Washington Redskins,@,New Orleans Saints,boxscore,27,10,448,2,197,1
16,Mon,1982-12-27,9:00PM,Miami Dolphins,,Buffalo Bills,boxscore,27,10,242,3,301,4
17,Sun,1983-01-02,12:00PM,New Orleans Saints,,Atlanta Falcons,boxscore,35,6,462,3,248,2
17,Sun,1983-01-02,1:00PM,New England Patriots,,Buffalo Bills,boxscore,30,19,418,1,353,1
17,Sun,1983-01-02,1:00PM,Tampa Bay Buccaneers,,Chicago Bears,boxscore,26,23,424,3,248,1
17,Sun,1983-01-02,1:00PM,Cincinnati Bengals,@,Houston Oilers,boxscore,35,27,457,2,334,2
17,Sun,1983-01-02,1:00PM,Pittsburgh Steelers,,Cleveland Browns,boxscore,37,21,521,3,345,6
17,Sun,1983-01-02,1:00PM,Washington Redskins,,St. Louis Cardinals,boxscore,28,0,253,0,196,5
17,Sun,1983-01-02,1:00PM,Detroit Lions,,Green Bay Packers,boxscore,27,24,368,3,276,4
17,Sun,1983-01-02,1:00PM,Kansas City Chiefs,,New York Jets,boxscore,37,13,355,1,308,2
17,Sun,1983-01-02,1:00PM,New York Giants,@,Philadelphia Eagles,boxscore,26,24,304,4,201,2
17,Sun,1983-01-02,2:00PM,Miami Dolphins,@,Baltimore Colts,boxscore,34,7,371,2,273,5
17,Sun,1983-01-02,4:00PM,Seattle Seahawks,,Denver Broncos,boxscore,13,11,363,3,387,4
17,Sun,1983-01-02,4:00PM,Los Angeles Raiders,@,San Diego Chargers,boxscore,41,34,354,1,438,2
17,Sun,1983-01-02,4:00PM,Los Angeles Rams,@,San Francisco 49ers,boxscore,21,20,374,0,324,1
17,Mon,1983-01-03,9:00PM,Minnesota Vikings,,Dallas Cowboys,boxscore,31,27,381,3,364,2
,,Playoffs,,,,,,,,,,,
WildCard,Sat,1983-01-08,12:30PM,Green Bay Packers,,St. Louis Cardinals,boxscore,41,16,394,1,453,4
WildCard,Sat,1983-01-08,12:30PM,Washington Redskins,,Detroit Lions,boxscore,31,7,366,0,364,5
WildCard,Sat,1983-01-08,4:00PM,Los Angeles Raiders,,Cleveland Browns,boxscore,27,10,510,2,284,1
WildCard,Sat,1983-01-08,4:00PM,Miami Dolphins,,New England Patriots,boxscore,28,13,448,3,237,3
WildCard,Sun,1983-01-09,12:30PM,New York Jets,@,Cincinnati Bengals,boxscore,44,17,517,2,395,4
WildCard,Sun,1983-01-09,12:30PM,San Diego Chargers,@,Pittsburgh Steelers,boxscore,31,28,479,2,422,2
WildCard,Sun,1983-01-09,4:00PM,Minnesota Vikings,,Atlanta Falcons,boxscore,30,24,378,1,235,2
WildCard,Sun,1983-01-09,4:00PM,Dallas Cowboys,,Tampa Bay Buccaneers,boxscore,30,17,456,3,218,3
Division,Sat,1983-01-15,12:30PM,Washington Redskins,,Minnesota Vikings,boxscore,21,7,415,1,317,0
Division,Sat,1983-01-15,4:00PM,New York Jets,@,Los Angeles Raiders,boxscore,17,14,391,5,339,5
Division,Sun,1983-01-16,12:30PM,Miami Dolphins,,San Diego Chargers,boxscore,34,13,413,2,247,7
Division,Sun,1983-01-16,4:00PM,Dallas Cowboys,,Green Bay Packers,boxscore,37,26,375,2,466,5
ConfChamp,Sat,1983-01-22,12:30PM,Washington Redskins,,Dallas Cowboys,boxscore,31,17,260,0,340,3
ConfChamp,Sun,1983-01-23,1:00PM,Miami Dolphins,,New York Jets,boxscore,14,0,198,4,139,5
SuperBowl,Sun,1983-01-30,6:00PM,Washington Redskins,N,Miami Dolphins,boxscore,27,17,400,2,176,2
