 
Week,Day,Date,Time,Winner/tie,,Loser/tie,,Pts,Pts.1,YdsW,TOW,YdsL,TOL
8,Sun,1968-11-03,,Dallas Cowboys,@,New Orleans Saints,boxscore,17,3,405,7,243,4
8,Sun,1968-11-03,,Los Angeles Rams,,Detroit Lions,boxscore,10,7,286,2,216,3
8,Sun,1968-11-03,,Minnesota Vikings,,Washington Redskins,boxscore,27,14,317,3,133,4
9,Sun,1968-11-10,,Los Angeles Rams,@,Atlanta Falcons,boxscore,17,10,250,1,232,3
9,Sun,1968-11-10,,Chicago Bears,,San Francisco 49ers,boxscore,27,19,449,1,255,4
9,Sun,1968-11-10,,Cleveland Browns,,New Orleans Saints,boxscore,35,17,467,6,284,3
9,Sun,1968-11-10,,Baltimore Colts,@,Detroit Lions,boxscore,27,10,354,1,308,0
9,Sun,1968-11-10,,Pittsburgh Steelers,@,St. Louis Cardinals,boxscore,28,28,363,0,425,2
9,Sun,1968-11-10,,New York Giants,@,Dallas Cowboys,boxscore,27,21,293,1,349,5
9,Sun,1968-11-10,,Minnesota Vikings,,Green Bay Packers,boxscore,14,10,226,1,263,4
9,Sun,1968-11-10,,Washington Redskins,@,Philadelphia Eagles,boxscore,16,10,267,2,276,2
10,Sun,1968-11-17,,Atlanta Falcons,@,Chicago Bears,boxscore,16,13,300,1,302,2
10,Sun,1968-11-17,,Cleveland Browns,@,Pittsburgh Steelers,boxscore,45,24,399,3,353,7
10,Sun,1968-11-17,,Baltimore Colts,,St. Louis Cardinals,boxscore,27,0,426,3,202,5
10,Sun,1968-11-17,,Dallas Cowboys,@,Washington Redskins,boxscore,44,24,515,2,289,2
10,Sun,1968-11-17,,Minnesota Vikings,@,Detroit Lions,boxscore,13,6,252,3,131,1
10,Sun,1968-11-17,,Green Bay Packers,,New Orleans Saints,boxscore,29,7,289,2,136,4
10,Sun,1968-11-17,,New York Giants,,Philadelphia Eagles,boxscore,7,6,274,2,107,3
10,Sun,1968-11-17,,San Francisco 49ers,,Los Angeles Rams,boxscore,20,20,338,4,399,3
